trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'e': 0.5486898605815875, 'a': 0.7}",25,0,-100.91182379496486,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
100,False,"{'e': 0.5403023058681398, 'a': 0.7}",30,0,-88.07593105063175,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
101,False,"{'e': 0.5318607213743555, 'a': 0.7}",30,0,9.154333089617865,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'e': 0.5233659512516495, 'a': 0.7}",20,11,-19.37608199099817,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
103,False,"{'e': 0.5148188449699553, 'a': 0.7}",25,2,-40.55399937324825,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
104,False,"{'e': 0.5062202572327784, 'a': 0.7}",25,0,-79.50618794098307,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
105,False,"{'e': 0.49757104789172696, 'a': 0.7}",30,3,-65.3078422236605,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 1}",1
106,False,"{'e': 0.4888720818605275, 'a': 0.7}",25,10,-23.606947094887776,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
107,False,"{'e': 0.4801242290285341, 'a': 0.7}",20,4,-5.939930417396441,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'e': 0.47132836417373997, 'a': 0.7}",30,20,0.9922390064307505,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'e': 0.4624853668753008, 'a': 0.7}",20,0,0.25270313890042573,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'e': 0.4535961214255773, 'a': 0.7}",25,9,0.28879153286563697,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'e': 0.4446615167417068, 'a': 0.7}",25,0,-16.441842998928927,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
